iter	Passed	Remaining
0	47	47759
1	48	24293
2	49	16476
3	50	12560
4	51	10222
5	52	8666
6	53	7542
7	53	6684
8	54	6007
9	55	5457
10	55	5002
11	56	4645
12	56	4325
13	57	4052
14	58	3815
15	58	3607
16	59	3423
17	59	3257
18	60	3109
19	60	2977
20	61	2858
21	62	2756
22	62	2662
23	63	2575
24	63	2494
25	64	2422
26	65	2354
27	65	2289
28	66	2226
29	67	2168
30	67	2113
31	68	2062
32	69	2025
33	69	1978
34	70	1935
35	70	1894
36	71	1854
37	71	1817
38	72	1782
39	72	1748
40	73	1717
41	74	1688
42	74	1660
43	75	1633
44	75	1608
45	76	1583
46	76	1559
47	77	1536
48	78	1515
49	78	1493
50	79	1473
51	79	1453
52	80	1433
53	80	1415
54	81	1398
55	81	1381
56	82	1364
57	83	1348
58	83	1332
59	84	1317
60	84	1302
61	85	1288
62	85	1274
63	86	1261
64	86	1248
65	87	1236
66	87	1223
67	88	1211
68	88	1199
69	89	1186
70	89	1175
71	90	1165
72	90	1154
73	91	1144
74	92	1135
75	92	1125
76	93	1115
77	93	1106
78	94	1097
79	95	1096
80	95	1088
81	96	1081
82	97	1073
83	97	1065
84	98	1058
85	98	1050
86	99	1043
87	99	1035
88	100	1028
89	101	1021
90	101	1014
91	102	1007
92	102	1000
93	103	993
94	103	987
95	104	981
96	104	973
97	105	967
98	105	961
99	106	955
100	106	950
101	107	944
102	107	938
103	108	933
104	108	927
105	109	922
106	109	917
107	110	912
108	110	906
109	111	902
110	112	897
111	112	892
112	113	887
113	113	883
114	114	878
115	114	874
116	115	869
117	115	865
118	116	861
119	116	857
120	117	852
121	117	848
122	118	844
123	119	840
124	119	836
125	120	833
126	120	829
127	121	824
128	121	821
129	122	817
130	122	814
131	123	810
132	123	806
133	124	803
134	124	799
135	125	795
136	125	791
137	126	788
138	126	785
139	127	782
140	127	778
141	128	775
142	128	772
143	129	769
144	129	766
145	130	763
146	131	760
147	131	757
148	132	754
149	132	751
150	133	748
151	133	745
152	134	742
153	134	740
154	135	737
155	135	734
156	136	732
157	136	729
158	137	726
159	137	724
160	138	721
161	139	719
162	139	716
163	140	713
164	140	711
165	141	709
166	141	706
167	142	704
168	142	701
169	143	699
170	143	696
171	144	694
172	144	691
173	145	689
174	145	687
175	146	685
176	146	683
177	147	680
178	147	678
179	148	676
180	149	674
181	149	672
182	150	670
183	150	668
184	151	666
185	151	664
186	152	662
187	152	660
188	153	658
189	153	656
190	154	654
191	154	652
192	155	650
193	156	648
194	156	646
195	157	644
196	157	642
197	158	640
198	158	638
199	159	636
200	159	635
201	160	633
202	160	631
203	161	629
204	161	627
205	162	626
206	162	624
207	163	622
