iter	Passed	Remaining
0	0	743
1	1	684
2	1	658
3	2	640
4	3	631
5	6	1094
6	8	1138
7	8	1069
8	18	2022
9	32	3168
10	35	3201
11	39	3263
12	40	3078
13	44	3131
14	45	2962
15	48	3010
16	49	2880
17	62	3385
18	63	3268
19	64	3160
20	72	3386
21	73	3259
22	73	3142
23	74	3041
24	89	3491
25	109	4096
26	110	3969
27	110	3844
28	111	3727
29	111	3618
30	119	3733
31	120	3630
32	120	3534
33	121	3443
34	121	3357
35	122	3277
36	122	3201
37	123	3128
38	124	3065
39	133	3211
40	141	3298
41	141	3230
42	142	3165
43	142	3103
44	157	3343
45	158	3279
46	158	3222
47	159	3164
48	160	3108
49	160	3054
50	161	3002
51	161	2952
52	162	2903
53	170	2989
54	181	3110
55	181	3065
56	182	3022
57	192	3127
58	193	3081
59	193	3035
60	194	2991
61	201	3052
62	202	3011
63	203	2971
64	203	2931
65	218	3088
66	219	3051
67	220	3016
68	220	2981
69	221	2944
70	223	2921
71	224	2892
72	228	2898
73	229	2877
74	230	2846
75	231	2818
76	232	2790
77	233	2764
78	281	3283
79	282	3248
80	283	3212
81	283	3177
82	284	3139
83	284	3107
84	291	3142
85	293	3114
86	293	3084
87	294	3054
88	295	3026
89	296	2998
90	300	2999
91	303	2995
92	305	2983
93	332	3201
94	339	3231
95	339	3200
96	340	3170
97	341	3140
98	341	3112
99	342	3085
100	343	3059
101	345	3042
102	351	3064
103	356	3070
104	373	3186
105	375	3169
106	377	3152
107	387	3202
108	388	3178
109	389	3150
110	390	3123
111	390	3097
112	391	3072
113	392	3046
114	392	3021
115	393	2998
116	393	2972
117	394	2950
118	395	2926
119	395	2903
120	396	2880
121	396	2856
122	397	2834
123	398	2812
124	398	2791
125	399	2770
126	399	2749
127	400	2729
128	401	2710
129	402	2691
130	402	2671
131	403	2652
132	403	2633
133	404	2614
134	405	2595
135	405	2577
136	406	2559
137	406	2541
138	407	2523
139	408	2506
140	408	2489
141	409	2471
142	409	2455
143	434	2585
144	459	2706
145	459	2688
146	460	2670
147	460	2652
148	461	2635
149	462	2618
150	462	2601
151	463	2584
152	463	2567
153	464	2551
154	464	2534
155	465	2518
156	466	2502
157	466	2487
158	467	2471
159	467	2456
160	468	2440
161	468	2425
162	469	2410
163	469	2395
164	470	2381
165	471	2367
166	471	2352
167	472	2340
168	473	2327
169	474	2314
170	474	2302
171	475	2290
172	476	2276
173	476	2263
174	478	2254
175	478	2241
176	479	2230
177	482	2229
178	483	2217
179	484	2205
180	484	2193
181	485	2180
182	485	2168
183	486	2157
184	487	2145
185	487	2133
186	488	2122
187	488	2111
188	489	2100
189	490	2088
190	490	2078
191	491	2067
192	492	2058
193	492	2048
194	493	2038
195	494	2029
196	495	2019
197	497	2013
198	498	2004
199	499	1996
200	500	1987
201	500	1977
202	501	1968
203	501	1958
204	502	1948
205	503	1940
206	504	1931
207	504	1922
208	505	1913
209	506	1904
210	506	1894
211	507	1885
212	507	1876
213	508	1867
214	514	1877
215	514	1868
216	515	1860
217	519	1863
218	520	1857
219	521	1849
220	522	1841
221	523	1834
222	524	1826
223	524	1818
224	525	1810
225	545	1869
226	546	1860
227	547	1852
228	548	1847
229	559	1872
230	560	1864
231	560	1856
232	561	1848
233	562	1840
234	562	1832
235	563	1825
236	574	1849
237	575	1841
238	575	1833
239	582	1843
240	584	1840
241	586	1837
242	587	1830
243	588	1822
244	589	1815
245	600	1841
246	601	1833
247	602	1826
248	603	1818
249	603	1811
250	604	1804
251	605	1797
252	606	1789
253	624	1834
254	625	1826
255	625	1818
256	626	1810
257	627	1803
258	627	1795
259	634	1805
260	635	1798
261	638	1798
262	646	1812
263	652	1818
264	653	1813
265	661	1826
266	663	1821
267	665	1817
268	666	1812
269	667	1804
270	668	1797
271	669	1791
272	669	1784
273	670	1776
274	671	1769
275	671	1762
276	672	1755
277	673	1748
278	673	1741
279	674	1734
280	675	1727
281	675	1720
282	676	1713
283	676	1706
284	677	1699
285	677	1692
286	678	1686
287	679	1679
288	679	1672
289	680	1666
290	681	1659
291	681	1652
292	682	1646
293	683	1640
294	683	1633
295	684	1627
296	684	1621
297	685	1615
298	686	1608
299	686	1602
300	687	1596
301	695	1607
302	695	1600
303	696	1594
304	697	1588
305	697	1582
306	698	1576
307	698	1570
308	699	1564
309	700	1558
310	700	1552
311	701	1546
312	701	1540
313	702	1534
314	703	1528
315	703	1523
316	704	1517
317	704	1511
318	705	1506
319	706	1500
320	706	1494
321	707	1489
322	707	1483
323	708	1478
324	709	1472
325	709	1467
326	710	1461
327	710	1456
328	711	1451
329	712	1445
330	712	1440
331	713	1435
332	713	1429
333	714	1424
334	714	1419
335	715	1414
336	716	1408
337	716	1403
338	717	1398
339	717	1393
340	718	1388
341	719	1383
342	719	1378
343	720	1373
344	720	1368
345	721	1363
346	721	1358
347	722	1353
348	723	1348
349	723	1344
350	724	1339
351	725	1334
352	725	1329
353	726	1325
354	726	1320
355	727	1316
356	728	1311
357	728	1307
358	733	1310
359	734	1306
360	735	1302
361	736	1297
362	737	1293
363	738	1289
364	739	1285
365	739	1281
366	740	1276
367	740	1272
368	741	1268
369	742	1263
370	742	1259
371	743	1255
372	744	1251
373	744	1246
374	745	1242
375	746	1238
376	747	1234
377	747	1230
378	748	1226
379	748	1221
380	749	1217
381	750	1213
382	751	1209
383	752	1206
384	752	1202
385	753	1199
386	754	1195
387	755	1191
388	757	1189
389	758	1185
390	758	1182
391	759	1178
392	760	1174
393	761	1170
394	762	1167
395	762	1163
396	781	1186
397	792	1198
398	793	1194
399	793	1190
400	794	1187
401	795	1183
402	803	1190
403	804	1186
404	805	1182
405	805	1179
406	806	1175
407	807	1171
408	808	1167
409	808	1163
410	809	1160
411	810	1156
412	810	1152
413	811	1148
414	812	1144
415	812	1140
416	813	1137
417	814	1133
418	814	1129
419	815	1125
420	817	1124
421	818	1121
422	819	1117
423	820	1114
424	820	1110
425	821	1107
426	822	1103
427	823	1100
428	824	1096
429	841	1115
430	841	1111
431	842	1107
432	842	1103
433	843	1099
434	847	1101
435	848	1097
436	849	1094
437	851	1092
438	852	1088
439	852	1085
440	853	1081
441	853	1078
442	854	1074
443	855	1070
444	855	1067
445	856	1063
446	857	1060
447	857	1056
448	858	1053
449	858	1049
450	859	1046
451	860	1043
452	861	1039
453	861	1036
454	862	1033
455	863	1030
456	864	1026
457	864	1023
458	865	1019
459	865	1016
460	866	1012
461	866	1009
462	867	1006
463	868	1002
464	868	999
465	869	996
466	869	992
467	870	989
468	871	986
469	871	982
470	872	979
471	872	976
472	873	973
473	873	969
474	874	966
475	876	965
476	877	962
477	878	958
478	878	955
479	879	952
480	880	950
481	881	947
482	882	944
483	883	942
484	884	939
485	885	936
486	885	932
487	886	929
488	886	926
489	887	923
490	888	920
491	890	919
492	891	916
493	891	913
494	892	910
495	893	907
496	893	904
497	894	901
498	894	898
499	895	895
500	896	892
501	896	889
502	897	886
503	897	883
504	898	880
505	898	877
506	899	874
507	900	871
508	900	868
509	901	865
510	901	863
511	902	860
512	903	857
513	903	854
514	904	851
515	905	848
516	905	845
517	906	843
518	906	840
519	907	837
520	907	834
521	908	831
522	909	829
523	910	826
524	911	824
525	911	821
526	912	818
527	912	816
528	913	813
529	914	810
530	914	807
531	915	805
532	915	802
533	916	799
534	917	797
535	917	794
536	918	791
537	918	789
538	919	786
539	920	783
540	920	781
541	922	779
542	923	776
543	924	774
544	924	771
545	925	769
546	930	770
547	930	767
548	931	765
549	932	762
550	933	760
551	934	758
552	944	763
553	945	761
554	946	758
555	946	756
556	947	753
557	948	751
558	949	748
559	952	748
560	954	746
561	954	744
562	955	741
563	956	739
564	956	736
565	957	733
566	957	731
567	958	728
568	959	726
569	959	723
570	960	721
571	960	718
572	961	716
573	961	713
574	962	711
575	963	709
576	964	706
577	964	704
578	965	701
579	967	700
580	968	698
581	969	696
582	969	693
583	970	691
584	973	690
585	974	688
586	974	685
587	975	683
588	976	681
589	977	679
590	977	676
591	978	674
592	981	673
593	982	671
594	984	670
595	985	668
596	986	665
597	986	663
598	987	660
599	988	658
600	988	656
601	989	653
602	989	651
603	990	649
604	990	646
605	991	644
606	992	642
607	993	640
608	994	638
609	995	636
610	996	634
611	1007	638
612	1008	636
613	1009	634
614	1010	632
615	1011	630
616	1012	628
617	1013	626
618	1014	624
619	1015	622
620	1016	620
621	1017	618
622	1017	615
623	1018	613
624	1019	611
625	1020	609
626	1020	607
627	1021	604
628	1021	602
629	1022	600
630	1023	598
631	1025	596
632	1025	594
633	1026	592
634	1026	590
635	1027	588
636	1027	585
637	1028	583
638	1028	581
639	1029	578
640	1029	576
641	1030	574
642	1030	572
643	1031	570
644	1031	567
645	1032	565
646	1033	563
647	1033	561
648	1034	559
649	1034	557
650	1035	555
651	1036	553
652	1036	551
653	1037	549
654	1040	547
655	1041	546
656	1042	544
657	1043	542
658	1044	540
659	1044	538
660	1044	535
661	1045	533
662	1045	531
663	1046	529
664	1046	527
665	1047	525
666	1047	523
667	1048	521
668	1048	519
669	1049	516
670	1050	514
671	1050	512
672	1051	510
673	1051	508
674	1052	506
675	1053	505
676	1054	503
677	1055	501
678	1056	499
679	1057	497
680	1060	496
681	1060	494
682	1061	492
683	1061	490
684	1062	488
685	1062	486
686	1063	484
687	1064	482
688	1064	480
689	1065	478
690	1065	476
691	1066	474
692	1066	472
693	1067	470
694	1068	468
695	1068	466
696	1069	465
697	1070	463
698	1071	461
699	1072	459
700	1076	459
701	1077	457
702	1078	455
703	1079	453
704	1079	451
705	1080	450
706	1081	448
707	1082	446
708	1095	449
709	1095	447
710	1096	445
711	1096	443
712	1097	441
713	1099	440
714	1099	438
715	1100	436
716	1100	434
717	1101	432
718	1102	430
719	1102	428
720	1103	426
721	1103	425
722	1110	425
723	1111	423
724	1112	421
725	1113	420
726	1114	418
727	1116	417
728	1117	415
729	1118	413
730	1118	411
731	1119	409
732	1121	408
733	1122	406
734	1123	404
735	1123	403
736	1125	401
737	1126	400
738	1127	398
739	1128	396
740	1129	394
741	1130	393
742	1131	391
743	1131	389
744	1132	387
745	1133	385
746	1133	384
747	1145	385
748	1146	384
749	1146	382
750	1147	380
751	1151	379
752	1151	377
753	1152	375
754	1152	374
755	1153	372
756	1154	370
757	1154	368
758	1155	366
759	1156	365
760	1157	363
761	1158	361
762	1159	360
763	1159	358
764	1160	356
765	1161	354
766	1162	353
767	1162	351
768	1163	349
769	1163	347
770	1164	345
771	1165	344
772	1165	342
773	1166	340
774	1166	338
775	1167	337
776	1168	335
777	1168	333
778	1173	333
779	1185	334
780	1186	332
781	1190	331
782	1191	330
783	1193	328
784	1194	327
785	1194	325
786	1195	323
787	1196	321
788	1201	321
789	1202	319
790	1203	317
791	1204	316
792	1205	314
793	1206	312
794	1206	311
795	1214	311
796	1215	309
797	1215	307
798	1216	306
799	1217	304
800	1218	302
801	1218	300
802	1219	299
803	1220	297
804	1220	295
805	1221	293
806	1221	292
807	1222	290
808	1223	288
809	1223	287
810	1224	285
811	1225	283
812	1225	281
813	1229	280
814	1229	279
815	1230	277
816	1231	275
817	1231	274
818	1232	272
819	1232	270
820	1233	268
821	1241	268
822	1243	267
823	1244	265
824	1245	264
825	1245	262
826	1246	260
827	1246	259
828	1247	257
829	1248	255
830	1248	253
831	1249	252
832	1253	251
833	1255	249
834	1256	248
835	1270	249
836	1271	247
837	1271	245
838	1272	244
839	1273	242
840	1274	240
841	1276	239
842	1277	237
843	1278	236
844	1279	234
845	1280	233
846	1286	232
847	1287	230
848	1287	229
849	1288	227
850	1289	225
851	1289	224
852	1290	222
853	1291	220
854	1291	219
855	1302	219
856	1304	217
857	1304	215
858	1305	214
859	1305	212
860	1306	210
861	1307	209
862	1308	207
863	1309	206
864	1310	204
865	1311	202
866	1311	201
867	1312	199
868	1312	197
869	1313	196
870	1314	194
871	1333	195
872	1334	194
873	1335	192
874	1336	190
875	1338	189
876	1339	187
877	1340	186
878	1340	184
879	1341	182
880	1342	181
881	1344	179
882	1348	178
883	1349	177
884	1349	175
885	1350	173
886	1351	172
887	1351	170
888	1352	168
889	1353	167
890	1353	165
891	1354	163
892	1355	162
893	1355	160
894	1356	159
895	1356	157
896	1357	155
897	1358	154
898	1359	152
899	1359	151
900	1360	149
901	1360	147
902	1361	146
903	1362	144
904	1362	143
905	1363	141
906	1363	139
907	1364	138
908	1365	136
909	1365	135
910	1366	133
911	1367	131
912	1367	130
913	1368	128
914	1369	127
915	1369	125
916	1370	124
917	1371	122
918	1371	120
919	1372	119
920	1373	117
921	1374	116
922	1374	114
923	1375	113
924	1376	111
925	1377	110
926	1377	108
927	1378	106
928	1378	105
929	1379	103
930	1380	102
931	1381	100
932	1381	99
933	1382	97
934	1382	96
935	1383	94
936	1384	93
937	1384	91
938	1385	90
939	1386	88
940	1387	86
941	1387	85
942	1388	83
943	1389	82
944	1389	80
945	1390	79
946	1391	77
947	1391	76
948	1392	74
949	1393	73
950	1393	71
951	1394	70
952	1395	68
953	1395	67
954	1396	65
955	1397	64
956	1397	62
957	1398	61
958	1398	59
959	1399	58
960	1399	56
961	1400	55
962	1401	53
963	1402	52
964	1402	50
965	1403	49
966	1404	47
967	1405	46
968	1405	44
969	1406	43
970	1407	42
971	1408	40
972	1409	39
973	1409	37
974	1410	36
975	1411	34
976	1411	33
977	1412	31
978	1412	30
979	1413	28
980	1414	27
981	1415	25
982	1416	24
983	1417	23
984	1417	21
985	1418	20
986	1419	18
987	1419	17
988	1420	15
989	1420	14
990	1421	12
991	1422	11
992	1422	10
993	1423	8
994	1424	7
995	1425	5
996	1425	4
997	1426	2
998	1426	1
999	1427	0
